Authority	Finnish feed	Swedish feed	English feed
112	https://112.fi/uutishuone/-/asset_publisher/XrYoIl7TpWvq/rss		
Fingrid	https://www.fingrid.fi/api/rss/news?language=fi	https://www.fingrid.fi/api/rss/news?language=fi	
Fingrid magazine	https://www.fingridlehti.fi/feed/		
Finnish Defence Forces Shooting and Noise Announcements	https://puolustusvoimat.fi/ajankohtaista/ampuma-ja-melutiedotteet/-/announcements/rss	https://puolustusvoimat.fi/sv/skjutningar-och-buller/-/announcements/rss	https://puolustusvoimat.fi/en/current-issues/firings-and-noise/-/announcements/rss
HSY	https://www.hsy.fi/ymparistotieto/tiedotteet-tapahtumat-ja-kuulutukset/Rss/		
Ministry of Energy	https://energiavirasto.fi/etusivu/-/asset_publisher/mip7ZqWho2Ph/rss		
Police	https://poliisi.fi/ajankohtaista/-/asset_publisher/yCqu73OvueAR/rss	https://poliisi.fi/sv/aktuellt/-/asset_publisher/yCqu73OvueAR/rss	https://poliisi.fi/en/news/-/asset_publisher/yCqu73OvueAR/rss
Sustainable development goverment business	https://www.motiva.fi/rss/ajankohtaista/uutiset		
Work and employment ministry	https://tem.fi/etusivu/-/asset_publisher/PuQeVCwBv2KT/rss		
YLE Vaaratiedotteet	https://feeds.yle.fi/uutiset/v1/recent.rss?publisherIds=YLE_UUTISET&amp;concepts=18-82214		
