Name,Reason
112 Suomi,Emergencies happen and there is no reason to not have it and notifications also on backup phone
AnySoftKeyboard,A keyboard I would miss
Bitwarden,Password manager
Conversations,"XMPP, missing on iOS"
Currency,converter
F-Droid,A lot of FOSS apps
Greenify?,"Can combine ForceDoze + SuperFreezzz, propietary"
Happy Cow,"Vegan restaurants, iOS costs"
K-9 Mail?,PGP encrypted emails if needed
Kalenteri,stuck with
Keep,stuck with
KISS,best launcher
Kuvat?,stuck with
Mobile Pay?,finances
N26?,finances
OsmAnd~?,costly on iOS
RadioDroid,missing on iOS
Revolut,finances
Signal?,backup communications
S-Mobiili,finances
Syncthing,missing on iOS
Telegram?,"backup communications, multidevices"
Termux,SSH with authentication subkey
TransferWise?,finances
Trusted Contacts?,emergency location sharing
VLC,offline music etc.
WiFiAnalyzer?,missing on iOS
WifiKeyShare?,"WLAN password storage, while manual"
OpenKeyChain,Required by K9 for PGP
OP,finances
